Ant52,Ant65,Ant244,Ant2,Ant6,Ant7,Ant15,Ant19,Ant30,Ant60,Ant72,Ant99,Ant102,Ant148,Ant161,Ant202,Ant209,Ant227,Ant237,Ant268,Ant518,Ant604,Ant673,Ant12,Ant20,Ant32,Ant35,Ant44,Ant50,Ant55,Ant62,Ant63,Ant96,Ant98,Ant105,Ant112,Ant114,Ant126,Ant137,Ant140,Ant144,Ant147,Ant169,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant215,Ant217,Ant219,Ant232,Ant243,Ant256,Ant257,Ant262,Ant265,Ant289,Ant294,Ant296,Ant298,Ant305,Ant324,Ant332,Ant342,Ant356,Ant395,Ant398,Ant400,Ant437,Ant476,Ant492,Ant502,Ant552,Ant556,Ant560,Ant564,Ant575,Ant592,Ant593,Ant599,Ant607,Ant621,Ant632,Ant638,Ant647,Ant650,Ant665
0,0,1,0,1,1,4,4,9,21,0,0,22,6,3,0,4,0,7,0,0,0,1,0,0,2,1,55,6,0,3,0,0,3,0,0,0,0,5,2,2,0,2,0,1,0,0,1,15,1,1,0,3,3,0,0,2,0,0,0,0,2,24,0,0,0,0,13,1,0,1,0,17,3,0,1,3,8,0,1,5,0,1,1,5,0,0,0,0,0
0,0,2,4,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,16,9,7,0,0,2,1,1,2,0,1,0,1,1,0,3,0,3,9,0,0,9,3,0,0,0,0,0,6,0,4,9,0,0,22,0,30,0,10,1,0,1,12,0,0,0,0,10,0,4,6,0,2,0,0,3,0,5,0,10,2,0,0,5,15,0,0,0,0,0,1
1,2,0,7,1,0,0,9,1,1,2,14,0,1,3,0,0,1,0,2,3,5,0,0,0,7,2,22,6,0,0,0,0,9,3,0,0,13,0,2,13,16,18,0,2,0,0,14,5,14,0,0,6,3,0,7,8,1,6,0,0,16,6,2,2,2,18,7,8,2,6,1,0,0,7,2,5,4,2,12,0,18,8,7,4,0,0,0,20,6
0,4,7,0,10,8,1,2,9,0,7,3,0,1,1,4,0,24,3,17,35,13,5,0,0,1,8,4,2,21,3,3,3,1,2,1,1,4,3,17,6,3,4,0,0,0,0,9,5,10,0,9,0,12,0,6,0,0,25,2,1,0,2,6,5,4,22,0,2,8,0,5,0,4,6,5,1,0,1,6,0,5,7,8,10,0,0,0,13,2
1,0,1,10,0,0,1,34,28,0,15,0,3,0,0,3,1,0,1,3,11,6,0,1,0,5,3,17,0,1,6,0,10,4,8,0,8,14,0,2,3,1,2,0,0,0,0,4,1,20,0,11,1,0,0,0,14,2,8,0,0,3,11,0,4,17,8,4,3,2,8,9,4,0,1,9,7,2,12,17,2,4,6,11,2,0,0,0,11,0
1,0,0,8,0,0,4,6,10,0,16,6,0,9,2,0,0,26,0,23,18,20,10,0,15,0,9,0,0,12,0,1,0,5,1,17,1,11,0,0,24,6,1,8,0,4,0,0,1,0,11,1,0,5,4,15,1,17,23,13,2,1,0,9,7,0,2,0,4,6,1,8,0,0,6,0,2,5,9,6,0,2,0,11,0,0,0,0,1,1
4,1,0,1,1,4,0,26,3,7,0,18,1,0,0,0,1,8,7,1,5,2,17,0,0,0,0,18,0,0,2,2,1,4,0,0,0,2,1,2,3,4,2,0,2,0,0,1,16,6,0,0,2,5,0,0,6,2,7,1,0,3,5,0,8,5,3,5,2,1,1,1,5,12,1,1,9,3,1,5,0,0,3,3,15,0,0,0,0,3
4,0,9,2,34,6,26,0,21,12,0,10,1,0,0,0,2,10,4,5,12,3,3,0,5,7,11,12,5,5,10,3,0,14,5,0,0,5,0,4,10,24,12,0,2,0,0,7,21,23,0,0,9,13,0,0,12,12,10,1,3,1,11,2,9,7,3,16,6,7,10,7,5,16,1,4,8,11,3,7,3,7,4,6,6,0,0,0,22,17
9,3,1,9,28,10,3,21,0,5,4,3,1,13,9,0,1,9,0,4,9,8,6,0,2,0,7,32,6,5,0,12,0,9,6,13,4,6,1,6,10,8,14,0,0,0,0,4,46,15,10,0,5,19,0,0,16,4,10,2,2,4,25,2,3,9,7,2,9,3,4,12,1,7,5,1,9,1,2,15,0,2,6,18,12,0,0,0,14,2
21,0,1,0,0,0,7,12,5,0,0,2,3,2,3,0,6,0,11,0,0,1,0,0,0,4,0,61,15,0,4,18,8,5,1,0,0,1,1,1,1,2,4,0,0,0,0,15,16,1,0,0,21,0,0,0,0,0,0,0,0,1,23,0,0,0,1,15,1,0,11,4,25,14,0,0,8,9,0,0,8,1,0,0,19,0,0,0,7,0
0,3,2,7,15,16,0,0,4,0,0,7,1,0,0,11,0,14,0,23,22,4,1,5,1,1,12,2,0,40,0,0,0,2,1,8,1,18,0,0,40,2,0,3,0,0,0,6,0,6,9,7,3,14,1,8,2,4,28,21,12,1,0,11,1,1,3,2,2,7,1,9,0,0,2,0,3,0,5,4,0,5,0,17,1,0,1,0,0,1
0,0,14,3,0,6,18,10,3,2,7,0,8,0,3,0,3,18,11,2,1,3,5,0,2,2,3,4,1,1,3,1,0,2,2,1,0,10,4,2,6,2,0,0,1,0,0,1,24,3,0,1,1,1,0,0,11,0,8,0,2,1,10,7,3,5,1,1,0,1,2,3,5,16,5,19,3,2,2,2,2,7,3,2,4,0,0,0,22,7
22,0,0,0,3,0,1,1,1,3,1,8,0,9,0,0,20,0,1,1,0,0,1,0,0,2,0,16,1,0,5,7,10,4,1,0,3,0,19,0,0,2,6,0,0,0,0,0,2,6,0,0,5,12,0,0,8,0,0,0,0,0,17,0,1,5,2,1,3,0,13,5,0,2,0,3,4,2,0,0,28,4,1,0,0,0,0,0,4,2
6,0,1,1,0,9,0,0,13,2,0,0,9,0,2,0,13,0,0,1,0,1,0,0,1,0,0,4,5,1,14,0,0,1,0,0,1,8,0,2,1,13,9,0,1,0,0,10,1,0,0,0,6,3,0,3,5,3,1,0,0,3,10,0,1,0,1,8,0,0,2,0,1,1,2,0,4,1,0,1,9,2,0,0,1,0,0,0,8,4
3,0,3,1,0,2,0,0,9,3,0,3,0,2,0,0,1,0,9,2,3,8,0,0,0,1,2,7,1,0,3,3,0,1,0,6,1,5,2,1,4,0,7,0,0,0,0,15,1,0,0,0,5,9,0,0,0,0,8,0,0,1,0,0,1,4,7,0,0,2,1,16,1,4,0,0,3,5,5,9,0,0,1,4,11,0,0,0,0,0
0,0,0,4,3,0,0,0,0,0,11,0,0,0,0,0,0,1,0,35,5,0,0,4,0,0,0,0,0,15,0,0,0,0,0,23,0,25,0,0,3,0,0,21,0,35,0,0,0,1,55,18,0,7,2,0,0,0,8,26,6,0,0,1,0,0,0,0,0,105,0,0,0,0,0,0,0,0,8,3,0,0,0,10,0,0,53,0,4,0
4,0,0,0,1,0,1,2,1,6,0,3,20,13,1,0,0,0,9,0,1,0,5,0,0,5,0,8,5,0,17,7,4,4,3,0,0,1,1,3,1,0,6,0,8,0,0,0,1,3,0,0,11,0,0,0,0,0,0,0,0,1,5,0,1,7,1,5,0,0,4,0,10,29,0,9,7,3,0,0,43,10,0,0,12,0,0,0,14,3
0,0,1,24,0,26,8,10,9,0,14,18,0,0,0,1,0,0,3,14,14,6,26,0,1,2,15,3,2,32,2,19,7,5,1,7,0,10,0,3,8,7,0,0,2,0,0,3,8,0,0,2,1,29,0,4,1,5,36,1,3,0,0,16,4,0,5,3,11,7,0,17,3,3,3,0,7,3,2,9,0,10,0,11,6,0,0,0,5,2
7,0,0,3,1,0,7,4,0,11,0,11,1,0,9,0,9,3,0,2,0,1,1,0,0,6,0,30,24,0,6,0,10,11,9,0,0,1,15,1,0,0,0,0,0,0,0,0,10,3,0,0,12,6,0,0,2,0,0,0,0,11,15,0,0,7,3,1,0,0,3,1,5,9,0,1,5,3,1,2,2,0,1,0,24,0,0,0,49,0
0,16,2,17,3,23,1,5,4,0,23,2,1,1,2,35,0,14,2,0,22,12,0,9,0,2,25,3,0,46,1,0,0,0,0,34,0,41,0,4,20,2,3,35,1,15,0,4,0,3,20,77,0,5,1,0,3,0,17,37,2,0,0,8,2,1,25,0,0,15,0,6,0,0,1,0,3,1,127,12,0,4,0,35,5,0,27,0,4,0
0,9,3,35,11,18,5,12,9,0,22,1,0,0,3,5,1,14,0,22,0,17,6,3,1,3,33,7,0,11,0,0,0,2,7,1,1,54,0,2,25,3,0,0,0,0,0,6,2,21,0,17,1,18,0,1,8,5,38,4,18,0,0,8,10,0,22,1,6,15,0,14,0,4,1,0,3,5,57,20,0,12,0,27,5,0,0,0,7,4
0,7,5,13,6,20,2,3,8,1,4,3,0,1,8,0,0,6,1,12,17,0,0,0,4,0,8,4,0,12,0,0,2,1,2,2,0,19,2,0,13,5,12,0,0,0,0,6,4,1,0,0,7,1,0,29,4,4,2,0,3,1,3,1,1,0,10,1,8,16,1,23,0,1,6,0,1,5,7,7,0,3,8,20,5,0,0,0,1,1
1,0,0,5,0,10,17,3,6,0,1,5,1,0,0,0,5,26,1,0,6,0,0,0,0,0,13,2,1,7,13,13,2,4,0,14,0,1,9,0,1,2,1,0,0,0,0,2,2,2,2,0,1,3,0,0,3,3,5,0,0,3,5,8,8,3,6,11,0,5,7,6,1,2,0,3,0,0,0,8,1,30,1,5,2,0,0,0,13,21
